Date,Open,High,Low,Close,Adj Close,Volume
2016-03-09,25.327499,25.395000,25.067499,25.280001,23.513155,108806800
2016-03-10,25.352501,25.559999,25.037500,25.292500,23.524775,134054400
2016-03-11,25.559999,25.570000,25.375000,25.565001,23.778234,109632800
2016-03-14,25.477501,25.727501,25.445000,25.629999,23.838688,100304400
2016-03-15,25.990000,26.295000,25.962500,26.145000,24.317701,160270800
2016-03-16,26.152500,26.577499,26.147499,26.492500,24.640911,153214000
2016-03-17,26.379999,26.617500,26.240000,26.450001,24.601379,137682800
2016-03-18,26.584999,26.625000,26.297501,26.480000,24.629284,176820800
2016-03-21,26.482500,26.912500,26.285000,26.477501,24.626959,142010800
2016-03-22,26.312500,26.822500,26.302500,26.680000,24.815302,129777600
2016-03-23,26.620001,26.767500,26.475000,26.532499,24.678110,102814000
2016-03-24,26.367500,26.562500,26.222500,26.417500,24.571148,104532000
2016-03-28,26.500000,26.547501,26.264999,26.297501,24.459534,77645600
2016-03-29,26.222500,26.947500,26.219999,26.920000,25.038527,124760400
2016-03-30,27.162500,27.605000,27.150000,27.389999,25.475679,182404400
2016-03-31,27.430000,27.475000,27.219999,27.247499,25.343138,103553600
2016-04-01,27.195000,27.500000,27.049999,27.497499,25.575666,103496000
2016-04-04,27.605000,28.047501,27.567499,27.780001,25.838421,149424800
2016-04-05,27.377501,27.682501,27.355000,27.452499,25.533810,106314800
2016-04-06,27.557501,27.745001,27.299999,27.740000,25.801216,105616400
2016-04-07,27.487499,27.605000,27.030001,27.135000,25.238501,127207600
2016-04-08,27.227501,27.442499,27.042500,27.165001,25.266407,94326800
2016-04-11,27.242500,27.652500,27.207500,27.254999,25.350115,117630000
2016-04-12,27.334999,27.625000,27.165001,27.610001,25.680305,108929200
2016-04-13,27.700001,28.084999,27.700001,28.010000,26.052345,133029200
2016-04-14,27.905001,28.097500,27.832500,28.025000,26.066298,101895600
2016-04-15,28.027500,28.075001,27.432501,27.462500,25.543112,187756000
2016-04-18,27.222500,27.237499,26.735001,26.870001,24.992023,243286000
2016-04-19,26.969999,27.000000,26.557501,26.727501,24.859484,129539600
2016-04-20,26.660000,27.022499,26.514999,26.782499,24.910643,122444000
2016-04-21,26.732500,26.732500,26.379999,26.492500,24.640911,126210000
2016-04-22,26.252501,26.620001,26.155001,26.420000,24.573479,134732400
2016-04-25,26.250000,26.412500,26.127501,26.270000,24.433960,112126400
